2018AGUFM.P51D2916C|2018|Far-Ultraviolet Reflectance Comparisons of Lunar Simulant JSC-1A with Apollo Soils: Applications for Planning Future Lunar Missions|Czajka, E., Retherford, K. D., Raut, U., Karnes, P. L., Poston, M., Wyrick, D. Y.|AGU Fall Meeting Abstracts|2018||P51D-2916|The Lyman Alpha Mapping Project (LAMP) onboard the Lunar Reconnaissance Orbiter (LRO) has found evidence of water frost inside permanently shaded regions (PSR's) of craters on the Moon. These results have increased the scientific community's interest in developing technology to harness water ice on the Moon as a resource. Understanding how lunar simulants adsorb water ice will be crucial to the development of this new technology, especially when medium to large sample sizes are required. While JSC-1A is the favored lunar simulant, its lack of np-Fe and differences in grain size distribution could affect the surface area/activation sites available for water frost adsorption on the grains. Far-UV reflectance spectra of the JSC-1A will be taken in the Southwest Ultraviolet Reflectance Chamber (SwURC). After the dry far-UV reflectance spectra are taken, soil samples will be coated with a thin layer of ice, using a micro-capillary doser. The final reflectance spectra will be calculated using the bidirectional reflectance distribution function (BRDF). We investigate the dry reflected far-UV spectra of the JSC-1A and compare to the reflectance spectra of the Apollo lunar soils 10084 and 15041. In addition, preliminary results for the far-UV reflectance spectra of ice coated lunar simulant will also be discussed. Both the dry and ice coated spectra of the JSC-1A simulant will serve as resource to help scientists better understand the differences between the ice coated JSC-1A lunar simulant and the icy lunar soils that will be encountered by future crewed missions to the Moon.|
2018GeoRL..4510959J|2018|Solar Wind-Induced Water Cycle on the Moon|Jones, Brant M., Aleksandrov, Alex, Hibbitts, K., Dyar, M. D., Orlando, Thomas M.|Geophysical Research Letters|45|20|10,959|The solar wind has been implicated as a source of water on airless bodies such as the Moon, asteroids, and possibly Mercury, yet a kinetic and mechanistic chemical model consistent with present-day observational data is still lacking. Utilizing available data sets on temperature-driven water formation and desorption from metal oxides (e.g., SiO<SUB>2</SUB>, TiO<SUB>2</SUB>, and Al<SUB>2</SUB>O<SUB>3</SUB>) with surface hydroxyl defects (-OH) and experimental data from a lunar mare regolith Apollo sample (10084), the 2.8-μm optical signal on the Moon is modeled. Specifically, the presence and persistence of this band result from the balance of formation and loss mechanisms associated with solar wind production and thermal transformation of hydroxyls on and within the regolith. This cycle involves formation and release of molecular water via recombinative desorption of the chemically bound -OH. Though this mechanism forms gas-phase H<SUB>2</SUB>O on the sunlit side, photodissociation and dissociative adsorption lead to rehydroxylation and very limited exospheric water over a lunation.|http://dx.doi.org/10.1029/2018GL080008
2018JGRE..123.1221R|2018|Far-Ultraviolet Photometric Response of Apollo Soil 10084|Raut, U., Karnes, P. L., Retherford, K. D., Davis, M. W., Liu, Y., Gladstone, G. R., Patrick, E. L., Greathouse, Thomas K., Hendrix, A. R., Mokashi, P.|Journal of Geophysical Research (Planets)|123|5|1221|We report new measurements of the far-ultraviolet (FUV) bidirectional reflectance of Apollo soil 10084 from the Southwest Research Institute ultraviolet reflectance chamber. The bidirectional reflectance distribution function of this mare soil, enriched in Ti and Fe content, is rather featureless in the FUV wavelength region of 115-180 nm, except for a small blue slope, which is attributed to the effects of space weathering. This soil preferentially backscatters FUV photons as indicated by the angular distribution of the bidirectional reflectance. The phase curves are fitted with a simplified Hapke photometric model to derive the average volume single scattering albedo and scattering phase function of the mare lunar grains. The albedo values and the backscattering nature reported here are consistent with Lunar Reconnaissance Orbiter's Lyman-Alpha Mapping Project ultraviolet imaging spectrograph observations, despite expected morphological differences.|http://dx.doi.org/10.1029/2018JE005567
2017LPI....48.2300P|2017|Volatile Trapping by Lunar Regolith: Experimental Results and Suggestions for Future Missions|Patrick, E. L., Mandt, K. E., Teolis, B. D.|Lunar and Planetary Science Conference||1964|2300|We compare exposure of Apollo 11 lunar sample #10084, lunar simulant JSC-1A, SiO, and CaO to various gases relevant to volatile trapping at the lunar surface.|
2017AGUFM.P23F..09R|2017|Far-ultraviolet Bidirectional Photometry of Apollo Soil 10084: New Results from The Southwest Ultraviolet Reflectance Chamber (SwURC).|Raut, U.|AGU Fall Meeting Abstracts|2017||P23F-09|We report new measurements of the far-ultraviolet (115-180 nm) bidirectional reflectance of Apollo soil 10084 in the Southwest Ultraviolet Reflectance Chamber (SwURC). We find the bidirectional reflectance distribution function (BRDF) to be featureless in this wavelength region, though with a small blue slope. The angular distribution of the BRDF at Ly-α and 160 nm shows that this mature mare soil, containing nanophase Fe and enriched in Ti, anisotropically scatters light in the forward direction. The phase angle dependence of the BRDF is fitted with Hapke's photometric model with an additional diffuse-directional term. Future plans include measurements of mare and highland soils of differing maturity index (Is/FeO), water ice frost and lunar soil-ice aggregates. Such measurements will help constrain the abundance and distribution of the water ice on the illuminated lunar surface and dark permanently shadowed regions of the moon, as reported by LRO-LAMP.|
2017LPICo2041.5050R|2017|Far-Ultraviolet Bidirectional Photometry of Apollo Soil 10084: Laboratory Studies in the Southwest Ultraviolet Reflectance Chamber (SwURC)|Raut, U., Karnes, P. L., Retherford, K. D., Davis, M. W., Patrick, E. L., Liu, Y., Mokashi, P.|2017 Annual Meeting of the Lunar Exploration Analysis Group|2041||5050|We present new far-ultraviolet bidirectional reflectance spectra of Apollo soil 10084. The FUV spectra this mare soil is featureless, though with a small blue slope. Increased reflectance at high phase imply the grains forward-scatter FUV photons.|
2015Icar..255...51D|2015|The lunar surface-exosphere connection: Measurement of secondary-ions from Apollo soils|Dukes, C. A., Baragiola, R. A.|Icarus|255||51|Low energy secondary ions ejected by the solar wind are an important component of tenuous exospheres surrounding airless bodies, since these ions carry information on the planetary surface composition. In this work we examine the dependence of secondary-ion abundance, as a function of energy and mass, on surface composition. The surface compositions of two Apollo soils (10084 and 62231) and a synthetic Corning glass lunar simulant were measured with X-ray photoelectron spectroscopy and correlated with the spectra of secondary-ions ejected from the same soils by 4 keV He ions. XPS spectra for lunar soils show that the surface compositions are similar to the bulk, but enriched in Fe and O, while depleted in Mg and Ca. 4 keV He irradiation on the lunar soils and a glass simulant preferentially removes O and Si, enriching the surface in Al, Ti, Mg, and Ca. Secondary-ion species ejected from the Apollo soils by 4 keV He include: Na<SUP>+</SUP>, Mg<SUP>+</SUP>, Al<SUP>+</SUP>, Si<SUP>+</SUP>, Ca<SUP>+</SUP>, Ca<SUP>++</SUP>, Ti<SUP>+</SUP>, Fe<SUP>+</SUP>, and molecular species: NaO<SUP>+</SUP>, MgO<SUP>+</SUP> and SiO<SUP>+</SUP>. Secondary ion energy distributions for lunar soil 10084 and 62231 rise rapidly, reach a maxima at ∼5 eV for molecular ions and Na<SUP>+</SUP>, ∼7.5 eV for Fe<SUP>+</SUP>, and ∼10 eV for Mg<SUP>+</SUP>, Al<SUP>+</SUP>, Si<SUP>+</SUP>, Ca<SUP>+</SUP> and Ti<SUP>+</SUP>, then decrease slowly with energy. We present species-dependent relative conversion factors for the derivation of atomic surface composition from secondary-ion count rates for 4 keV He irradiation of lunar soils 10084 and 62231, as well as the Corning glass lunar simulant.|http://dx.doi.org/10.1016/j.icarus.2014.11.032
2014AGUFM.P13D3841G|2014|Connecting Returned Apollo Soils and Remote Sensing: Application to the Diviner Lunar Radiometer|Greenhagen, B. T., Donaldson Hanna, K. L., Thomas, I., Bowles, N. E., Allen, C., Pieters, C. M., Paige, D. A.|AGU Fall Meeting Abstracts|2014||P13D-3841|The Diviner Lunar Radiometer, onboard NASA's Lunar Reconnaissance Orbiter, has produced the first global, high resolution, thermal infrared observations of an airless body. The Moon, which is the most accessible member of this most abundant class of solar system objects, is also the only body for which we have extraterrestrial samples with known spatial context. Here we present the results of a comprehensive study to reproduce an accurate simulated lunar environment, evaluate the most appropriate sample and measurement conditions, collect thermal infrared spectra of a representative suite of Apollo soils, and correlate them with Diviner observations of the lunar surface. It has been established that thermal infrared spectra measured in a simulated lunar environment (SLE) are significantly altered from spectra measured under terrestrial conditions. The data presented here were collected at the University of Oxford Simulated Lunar Environment Chamber (SLEC). In SLEC, the lunar environment is simulated by: (1) pumping the chamber to vacuum pressures (&lt;10-4 mbar) sufficient to simulate lunar heat transport processes within the sample, (2) cooling the chamber with liquid nitrogen to simulate radiation to the cold space environment, and (3) heating the samples with heaters and lamp to set-up thermal gradients similar to those experienced in the upper hundreds of microns of the lunar surface. A comprehensive suite of experiments were conducted using different sample preparation and heating conditions on Apollo soils 15071 (maria) and 67701 (highland) and compared the results to Diviner noontime data to select the optimal experimental conditions. Additional thermal infrared measurements in optimized SLE were made of 10084 (A11 - LM), 12001 (A12 - LM), 14259 (A14 - LM), 15071 (A15 - S1), 15601 (A15 - S9a), 61141 (A16 - S1), 66031 (A16 - S6), 67701 (A16 - S11), and 70181 (A17 - LM).The Diviner dataset includes all six Apollo sites at approximately 200 m spatial resolution. We find that analyses of Diviner observations of individual sampling stations and SLE measurements of returned Apollo soils show good agreement, while comparisons to thermal infrared reflectance under terrestrial conditions do not agree well, which underscores the need for SLE measurements and validates the Diviner compositional dataset.|
2013SPIE.8859E..0RK|2013|Radiometric calibration of the SwRI ultraviolet reflectance chamber (SwURC) far-ultraviolet reflectometer|Karnes, Preston L., Retherford, Kurt D., Winters, Gregory S., Bassett, Eric C., Escobedo, Stephen M., Patrick, Edward L., Richter, Amanda, Davis, Michael W., Miles, Paul F., Parker, Joel W., Gladstone, G. Randall, Greathouse, Thomas K., Schindhelm, Eric R., Feaga, Lori M., Stern, S. Alan|UV, X-Ray, and Gamma-Ray Space Instrumentation for Astronomy XVIII|8859||88590R|The Southwest Research Institute Ultraviolet Reflectance Chamber (SwURC) is a highly capable UV reflectometer chamber and data acquisition system designed to provide bidirectional scattering data of various surfaces and materials. The chamber provides laboratory-based UV reflectance measurements of water frost/ice, lunar soils, simulants, and analogs to support interpretation of UV reflectance data from the Lyman Alpha Mapping Project (LAMP) Lunar Reconnaissance Orbiter (LRO). A deuterium lamp illuminates a monochromator with a nominal wavelength range of 115 nm to 210 nm. The detector scans emission angles -85° to +85°in the principal plane. Liquid nitrogen passed through the sample mount enables constant refrigeration of tray temperatures down to 78 K to form water ice and other volatile samples. The SwURC can be configured to examine a wide range of samples and materials through the use of custom removable sample trays, connectors, and holders. Calibration reference standard measurements reported here include Al/MgF<SUB>2</SUB> coated mirrors for specular reflection and Fluorilon for diffuse reflectances. This calibration work is a precursor to reports of experiments measuring the far-UV reflectance of water frost, lunar simulants, and Apollo soil sample 10084 in support of LRO-LAMP.|http://dx.doi.org/10.1117/12.2024460
2013Icar..226..891K|2013|Ti distribution in grain-size fractions of Apollo soils 10084 and 71501|Kong, W. G., Jolliff, B. L., Wang, Alian|Icarus|226|1|891|Much work has been devoted to the correlation between the remotely sensed UV-VIS slope and the TiO<SUB>2</SUB> concentration of the lunar surface, and this correlation has been used to map the lunar surface TiO<SUB>2</SUB> distributions using data obtained from various missions. However, additional work is needed to fully evaluate the UV-VIS-TiO<SUB>2</SUB> correlation. Such work would help ongoing efforts to improve TiO<SUB>2</SUB> mapping (e.g., as currently underway with LROC Wide Angle Camera (WAC) data). To evaluate the UV-VIS-TiO<SUB>2</SUB> correlation, we are investigating soil petrographic factors (e.g., modal abundances of Ti bearing minerals, lithic, and glass hosts, ilmenite morphology, grain size, and maturity) that may influence the spectra. This “ground truth” approach will be useful in comparing between sample information and laboratory spectra to investigate the influence of petrographic factors on the spectra. In this work, we report the quantitative results of a systematic laboratory investigation of three size fractions (210-100 μm, 100-48 μm, 48-20 μm) of two high Ti lunar soils 10084 and 71501 using a combined digital imaging (backscattered electron image and X-ray maps) method. For each size fraction, the results include: (1) the modal abundances for single phase minerals and lithologic components; (2) the Ti distributions among Ti host components; and (3) the shape of ilmenite grains. We compile and compare the data together for the three size fractions of the two high Ti soils with different maturities as well as data from previous studies. Future work will include the investigation of finer size fractions (&lt;20 μm) and more samples (Apollo 12, Apollo 15) covering a larger range of Ti concentration and maturity, and comparison with their spectra.|http://dx.doi.org/10.1016/j.icarus.2013.07.007
